name,closed,lat,lng,city,state,country,url
La Chapelle-d'Abondance,false,0.462961e2,0.67881e1,La Chapelle-d'Abondance,Auvergne-Rhône-Alpes,France,
La Clusaz,false,0.45905e2,0.64239e1,La Clusaz,Auvergne-Rhône-Alpes,France,
Combloux,false,0.458964e2,0.66417e1,Combloux,Auvergne-Rhône-Alpes,France,
Les Contamines-Montjoie,false,0.458225e2,0.673e1,Les Contamines-Montjoie,Auvergne-Rhône-Alpes,France,
Flaine,false,0.4600417e2,0.669583e1,Magland,Auvergne-Rhône-Alpes,France,http://www.grand-massif.com/
Cordon,false,0.459239e2,0.66128e1,Cordon,Auvergne-Rhône-Alpes,France,
Les Gets,false,0.461606e2,0.66708e1,Les Gets,Auvergne-Rhône-Alpes,France,
Le Grand-Bornand,false,0.459425e2,0.64258e1,Le Grand-Bornand,Auvergne-Rhône-Alpes,France,
Manigod,false,0.458617e2,0.63706e1,Manigod,Auvergne-Rhône-Alpes,France,
Les Houches,false,0.458908e2,0.67992e1,Les Houches,Auvergne-Rhône-Alpes,France,https://www.leshouches.fr
Megève,false,0.458578e2,0.66181e1,Megève,Auvergne-Rhône-Alpes,France,
Montmin,false,0.458033e2,0.6265e1,Talloires-Montmin,Auvergne-Rhône-Alpes,France,
Mont-Saxonnex,false,0.460547e2,0.6485e1,Mont-Saxonnex,Auvergne-Rhône-Alpes,France,
Morillon,false,0.460847e2,0.66761e1,Morillon,Auvergne-Rhône-Alpes,France,
Morzine,false,0.461789e2,0.67089e1,Morzine,Auvergne-Rhône-Alpes,France,https://www.mairie-morzine-avoriaz.com
Orange,false,0.460275e2,0.632528e1,Saint-Sixt,Auvergne-Rhône-Alpes,France,http://www.station-orange.com/
Praz de Lys-Sommand,false,0.46146956e2,0.6590595e1,Taninges,Auvergne-Rhône-Alpes,France,http://www.prazdelys-sommand.com
Passy,false,0.459244e2,0.66872e1,Route du Plateau d'Assy,Auvergne-Rhône-Alpes,France,http://www.ville-passy-mont-blanc.fr/
Praz-sur-Arly,false,0.458381e2,0.65708e1,Praz-sur-Arly,Auvergne-Rhône-Alpes,France,
Le Reposoir,false,0.460119e2,0.65358e1,Le Reposoir,Auvergne-Rhône-Alpes,France,http://www.lereposoir.fr
Saint-Gervais-les-Bains,false,0.458933e2,0.67139e1,Saint-Gervais-les-Bains,Auvergne-Rhône-Alpes,France,
Saint-Jean-d'Aulps,false,0.46235e2,0.66564e1,Saint-Jean-d'Aulps,Auvergne-Rhône-Alpes,France,
Saint-Jean-de-Sixt,false,0.459239e2,0.64106e1,Saint-Jean-de-Sixt,Auvergne-Rhône-Alpes,France,
Saint-Gervais-les-Bains,false,0.458933e2,0.67139e1,Saint-Gervais-les-Bains,Auvergne-Rhône-Alpes,France,
Samoëns,false,0.460847e2,0.67281e1,Samoëns,Auvergne-Rhône-Alpes,France,https://www.mairiedesamoens.fr
Seythenex,false,0.457267e2,0.63003e1,Faverges-Seythenex,Auvergne-Rhône-Alpes,France,
Sixt-Fer-à-Cheval,false,0.460558e2,0.67764e1,Sixt-Fer-à-Cheval,Auvergne-Rhône-Alpes,France,http://www.sixtferacheval.com
Thollon-les-Mémises,false,0.463889e2,0.66997e1,Thollon-les-Mémises,Auvergne-Rhône-Alpes,France,
Vallorcine,false,0.460353e2,0.69339e1,Vallorcine,Auvergne-Rhône-Alpes,France,
Chalet Reynard,false,0.441525e2,0.531917e1,Bédoin,Provence-Alpes-Côte d'Azur,France,
Mont Ventoux,false,0.4417444e2,0.527889e1,Beaumont-du-Ventoux,Provence-Alpes-Côte d'Azur,France,
Aravis Range,false,0.4595583e2,0.655556e1,Le Reposoir,Auvergne-Rhône-Alpes,France,
Tignes – Val d'Isère,false,0.45619386e2,0.6770892e1,Place de la Gare,Auvergne-Rhône-Alpes,France,http://www.espacekilly.com/
