name,closed,lat,lng,city,state,url,forecast_url
Montage Mountain Ski Resort,false,41.3533,-75.6592,Scranton,Pennsylvania,,"https://api.weather.gov/gridpoints/BGM/79,23/forecast"
Tussey Mountain,false,40.7682,-77.752,Centre Hall,Pennsylvania,http://www.tusseymountain.com,"https://api.weather.gov/gridpoints/CTP/72,55/forecast"
Whitetail Ski Resort,false,39.74167,-77.93278,Mercersburg,Pennsylvania,http://www.skiwhitetail.com,"https://api.weather.gov/gridpoints/CTP/72,8/forecast"
Appalachian Ski Mountain,false,36.174,-81.662,The Lodge,North Carolina,http://www.appskimtn.com/,"https://api.weather.gov/gridpoints/RNK/17,13/forecast"
Cataloochee Ski Area,false,35.563,-83.09,Town of Maggie Valley,North Carolina,http://www.cataloochee.com,"https://api.weather.gov/gridpoints/GSP/35,71/forecast"
Wolf Ridge Ski Resort,false,35.955,-82.509,Wolf Ridge Ski Resort,North Carolina,http://www.skiwolfridgenc.com/,"https://api.weather.gov/gridpoints/GSP/55,90/forecast"
Ober Gatlinburg,false,35.70306,-83.55778,Ober Gatlinburg Lodge,Tennessee,https://obergatlinburg.com,"https://api.weather.gov/gridpoints/MRX/85,41/forecast"
Bryce Resort,false,38.8175,-78.76583,Bryce Resort,Virginia,,"https://api.weather.gov/gridpoints/LWX/37,60/forecast"
Massanutten Mountain,false,38.643028,-78.612028,,Virginia,,"https://api.weather.gov/gridpoints/LWX/43,53/forecast"
The Omni Homestead Resort,false,37.9954722,-79.8296444,Hot Springs,Virginia,,"https://api.weather.gov/gridpoints/RNK/74,101/forecast"
Wintergreen Resort,false,37.93,-78.94167,,Virginia,http://www.wintergreenresort.com/,"https://api.weather.gov/gridpoints/LWX/35,20/forecast"
Canaan Valley Resort State Park,true,39.02361,-79.46583,,West Virginia,https://wvstateparks.com/park/holly-river-state-park/,"https://api.weather.gov/gridpoints/PBZ/102,3/forecast"
Snowshoe Mountain,false,38.40889,-79.99472,,West Virginia,http://www.snowshoemtn.com/,"https://api.weather.gov/gridpoints/RLX/119,75/forecast"
Winterplace Ski Resort,false,37.59,-81.115,,West Virginia,http://www.winterplace.com,"https://api.weather.gov/gridpoints/RNK/30,78/forecast"
Ski Snowstar,false,41.425,-90.7438,Ski Snowstar Winter Sports Park,Illinois,,"https://api.weather.gov/gridpoints/DVN/61,61/forecast"
Paoli Peaks,false,38.55778,-86.51028,Paoli Peaks,Indiana,http://www.paolipeaks.com,"https://api.weather.gov/gridpoints/LMK/21,89/forecast"
Perfect North Slopes,true,39.149208,-84.886581,,Indiana,http://www.perfectnorth.com/,"https://api.weather.gov/gridpoints/ILN/21,38/forecast"
Big Powderhorn Mountain,false,46.50417,-90.09611,,Michigan,,"https://api.weather.gov/gridpoints/MQT/65,63/forecast"
Blackjack Ski Resort,false,46.5021,-90.0046,,Michigan,http://skiblackjack.com,"https://api.weather.gov/gridpoints/MQT/68,63/forecast"
Boyne Mountain Resort,false,45.16389,-84.93278,Boyne Country Sports & Shops,Michigan,http://www.boyne.com/BoyneMountain/,"https://api.weather.gov/gridpoints/APX/49,66/forecast"
Caberfae Peaks Ski & Golf Resort,false,44.24972,-85.725,,Michigan,,"https://api.weather.gov/gridpoints/APX/26,21/forecast"
Crystal Mountain,true,44.52,-85.99222,The Lodge,Michigan,http://www.crystalmountain.com,"https://api.weather.gov/gridpoints/APX/16,33/forecast"
The Highlands at Harbor Springs,false,45.47083,-84.93472,,Michigan,https://www.highlandsharborsprings.com/,"https://api.weather.gov/gridpoints/APX/48,80/forecast"
Indianhead Mountain,false,46.5,-89.97083,Summit Center,Michigan,,"https://api.weather.gov/gridpoints/MQT/69,63/forecast"
Marquette Mountain,false,46.508,-87.42,Marquette,Michigan,http://www.marquettemountain.com,"https://api.weather.gov/gridpoints/MQT/152,68/forecast"
Mont Ripley,false,47.12917,-88.55944,Mont Ripley,Michigan,,"https://api.weather.gov/gridpoints/MQT/114,95/forecast"
Mount Bohemia,true,47.39167,-88.01361,,Michigan,http://www.mtbohemia.com/,"https://api.weather.gov/gridpoints/MQT/131,109/forecast"
Mount Brighton,false,42.53806,-83.80694,Brighton,Michigan,,"https://api.weather.gov/gridpoints/DTX/38,40/forecast"
Mulligan's Hollow Ski Bowl,false,43.0564,-86.2393,,Michigan,,"https://api.weather.gov/gridpoints/GRR/20,49/forecast"
Nub's Nob,true,45.47,-84.903,Harbor Springs,Michigan,http://nubsnob.com,"https://api.weather.gov/gridpoints/APX/49,80/forecast"
Pine Knob,false,42.7422524,-83.3671629,Village of Clarkston,Michigan,,"https://api.weather.gov/gridpoints/DTX/52,51/forecast"
Porcupine Mountains,false,46.78111,-89.68083,,Michigan,,"https://api.weather.gov/gridpoints/MQT/78,77/forecast"
Ski Brule,false,46.028,-88.701,Rental and Tech center,Michigan,,"https://api.weather.gov/gridpoints/MQT/112,43/forecast"
Timber Ridge Ski Area,false,42.391711,-85.779052,,Michigan,,"https://api.weather.gov/gridpoints/GRR/38,19/forecast"
Afton Alps,true,44.85556,-92.78917,Afton Alps,Minnesota,http://www.aftonalps.com/,"https://api.weather.gov/gridpoints/MPX/123,66/forecast"
Buck Hill,true,44.724,-93.283,Main Chalet,Minnesota,http://www.buckhill.com,"https://api.weather.gov/gridpoints/MPX/107,59/forecast"
Buena Vista Ski Area,false,47.65806,-94.87917,,Minnesota,,"https://api.weather.gov/gridpoints/FGF/161,92/forecast"
Hyland Hills Ski Area,true,44.844,-93.364,HSSA Chalet,Minnesota,https://www.threeriversparks.org/location/hyland-hills-ski-area,"https://api.weather.gov/gridpoints/MPX/104,65/forecast"
Lutsen Mountains,false,47.664,-90.714,Lutsen Mountains Snowsports Center,Minnesota,,"https://api.weather.gov/gridpoints/DLH/135,112/forecast"
Mount Kato,false,44.13139,-94.03639,Mankato,Minnesota,http://www.mountkato.com,"https://api.weather.gov/gridpoints/MPX/82,31/forecast"
